Samochód,Model,Tom,Waga,CO2,
Toyota,Ajgo,"1,0",790,99,
Mitsubishi,Kosmiczna gwiazda,1.2,1160,95,
Skoda,Citigo,"1,0",929,95,
Placet,500,"0,9",865,90,
Mini,Bednarz,"1,5",1140,105,
VW,W gór?!,"1,0",929,105,
Skoda,Fabia,"1,4",1109,90,
Mercedes,Klasa,"1,5",1365,92,
Bród,Fiesta,"1,5",1112,98,
Audi,A1,"1,6",1150,99,
Hyundai,I20,"1,1",980,99,
Suzuki,Szybki,"1,3",990,101,
Bród,Fiesta,"1,0",1112,99,
Honda,Obywatelski,"1,6",1252,94,
Hyundai,I30,"1,6",1326,97,
Opel,Astra,"1,6",1330,97,
BMW,1,"1,6",1365,99,
Mazda,3,"2,2",1280,104,
Skoda,Nag?y,"1,6",1119,104,
Bród,Centrum,"2,0",1328,105,
Bród,Mondeo,"1,6",1584,94,
Opel,Insygnia,"2,0",1428,99,
Mercedes,Klasa C,"2,1",1365,99,
Skoda,Oktawia,"1,6",1415,99,
Volvo,S60,"2,0",1415,99,
Mercedes,CAO,"1,5",1465,102,
Audi,A4,"2,0",1490,104,
Audi,A6,"2,0",1725,114,
Volvo,V70,"1,6",1523,109,
BMW,5,"2,0",1705,114,
Mercedes,Klasa E,"2,1",1605,115,
Volvo,XC70,"2,0",1746,117,
Bród,B-maks.,"1,6",1235,104,
BMW,2,"1,6",1390,108,
Opel,Zafira,"1,6",1405,109,
Mercedes,SLK,"2,5",1395,120,
